# Power Spectral Density estimated with Welch's method
# Raw CSV rows: 1000000
# Preprocess method: reconstructed_uniform_time_axis
# Preprocess details: 原始时间列存在重复时间戳或非均匀步长，因此按首末时间和总样本数重建了均匀时间轴。 检测到 80002 个重复时间块，重复块长度范围为 1 到 10 行。
# Samples used for PSD: 1000000
# Sampling frequency used for PSD (Hz): 999999
# Window: hann
# nperseg: 131072
# noverlap: 65536
# detrend: constant
# Display unit: V^2/Hz
# Display formula: display = PSD_V2_per_Hz
# Reference impedance (Ohm): 50
# Peak count reported: 5
# Minimum peak prominence (dB): 6
# Peak 1: f=69564.74977 Hz, psd_v2_per_hz=1.722620836e-11, prominence_db=17.56305692
# Peak 2: f=40000.87553 Hz, psd_v2_per_hz=1.266751844e-11, prominence_db=16.07189258
# Peak 3: f=65116.81721 Hz, psd_v2_per_hz=8.669987205e-12, prominence_db=13.06382663
# Peak 4: f=17944.31799 Hz, psd_v2_per_hz=7.148190068e-12, prominence_db=12.2700983
# Peak 5: f=475356.5803 Hz, psd_v2_per_hz=6.876615323e-12, prominence_db=15.23737304
frequency_hz,psd_v2_per_hz,psd_v2_per_hz
999.4496841374356,5.228158385905082e-12,5.228158385905082e-12
1007.0790710392481,3.066842139322016e-12,3.066842139322016e-12
1014.7084579410606,3.117807528229201e-12,3.117807528229201e-12
1022.337844842873,2.3710981085567892e-12,2.3710981085567892e-12
1029.9672317446855,1.3961258041661988e-12,1.3961258041661988e-12
1037.596618646498,2.142625898722109e-12,2.142625898722109e-12
1045.2260055483105,2.9711892857577173e-12,2.9711892857577173e-12
1052.855392450123,1.4504555901661448e-12,1.4504555901661448e-12
1060.4847793519355,1.3417698488111944e-12,1.3417698488111944e-12
1068.114166253748,1.7176066298019208e-12,1.7176066298019208e-12
1075.7435531555604,2.6291881019137237e-12,2.6291881019137237e-12
1083.372940057373,1.9160897754774783e-12,1.9160897754774783e-12
1091.0023269591854,2.1589825981325683e-12,2.1589825981325683e-12
1098.631713860998,3.8621276668408525e-12,3.8621276668408525e-12
1106.2611007628104,3.0957389013458447e-12,3.0957389013458447e-12
1113.890487664623,2.340431075135272e-12,2.340431075135272e-12
1121.5198745664354,1.1699638824953772e-12,1.1699638824953772e-12
1129.149261468248,1.5837450781220967e-12,1.5837450781220967e-12
1136.7786483700604,2.568809080796142e-12,2.568809080796142e-12
1144.408035271873,2.6938003958414528e-12,2.6938003958414528e-12
1152.0374221736854,2.1837293353291845e-12,2.1837293353291845e-12
1159.6668090754977,1.715192618593233e-12,1.715192618593233e-12
1167.2961959773102,1.365857148636274e-12,1.365857148636274e-12
1174.9255828791227,1.5321080149982348e-12,1.5321080149982348e-12
1182.5549697809352,1.6887740045025137e-12,1.6887740045025137e-12
