scan_phase_rad,port_b_abs_mean,port_b_abs_std,port_b_norm_mean,port_b_norm_std,loss_mean
1.675516081914556255e+00,3.460415719957651293e-01,2.408844816751040674e-01,3.871338997888529865e-01,2.694894380801182154e-01,1.061450000000000726e-01
1.727875959474386214e+00,3.464858035909038625e-01,2.407139926828112397e-01,3.876308837461376888e-01,2.692987035736347234e-01,1.061450000000000726e-01
1.780235837034215951e+00,3.669682902768835464e-01,2.498393169561571314e-01,4.105456592812968819e-01,2.795076572331722242e-01,1.061450000000000726e-01
1.832595714594045910e+00,3.966301948041224268e-01,2.561532397660977733e-01,4.437299056380761275e-01,2.865713563901279293e-01,1.061450000000000726e-01
1.884955592153875870e+00,4.225724648695346475e-01,2.572410740876904800e-01,4.727528121110635695e-01,2.877883706951245291e-01,1.061450000000000865e-01
1.937315469713705607e+00,4.667097159822480856e-01,2.607372976906353612e-01,5.221313479056984841e-01,2.916997697508381115e-01,1.061450000000000587e-01
1.989675347273535566e+00,4.933424090989012023e-01,2.569354586369472782e-01,5.519266649500211841e-01,2.874464635057669137e-01,1.061450000000000726e-01
2.042035224833365525e+00,5.340191078083476039e-01,2.547554449835153223e-01,5.974337088323584677e-01,2.850075739169276590e-01,1.061450000000001004e-01
2.094395102393195263e+00,5.251934777131086474e-01,2.527411574977053710e-01,5.875600379402797779e-01,2.827540904259699950e-01,1.061450000000000726e-01
2.146754979953025000e+00,5.799133625115145962e-01,2.446854885093371346e-01,6.487778918409748963e-01,2.737418132799359638e-01,1.061450000000000726e-01
2.199114857512855181e+00,5.798167113565289021e-01,2.419989593423770291e-01,6.486697633917458683e-01,2.707362596197113169e-01,1.061450000000000726e-01
2.251474735072684918e+00,6.100847373184093980e-01,2.365191142603743912e-01,6.825321079128151558e-01,2.646056846584450284e-01,1.061450000000000726e-01
2.303834612632514656e+00,6.072032885890378262e-01,2.279155565386231930e-01,6.793084880534738801e-01,2.549804571643311535e-01,1.061450000000000587e-01
2.356194490192344837e+00,6.074973578174263089e-01,2.249494128928266057e-01,6.796374779102050123e-01,2.516620848938884158e-01,1.061450000000000726e-01
2.408554367752174574e+00,6.170936279506222810e-01,2.229913951179801068e-01,6.903733021022674388e-01,2.494715531243659745e-01,1.061450000000000587e-01
2.460914245312004311e+00,6.141372649244543069e-01,2.179813063406147444e-01,6.870658718969568923e-01,2.438665178811046386e-01,1.061450000000001004e-01
2.513274122871834493e+00,5.712726649728951944e-01,2.437494653618260676e-01,6.391111141884256996e-01,2.726946376781760883e-01,1.061450000000000449e-01
2.565634000431664230e+00,5.591018656980886181e-01,2.459178915373073093e-01,6.254950363292578475e-01,2.751205637797040637e-01,1.061450000000000726e-01
2.617993877991493967e+00,5.281008887609827118e-01,2.494584876425193221e-01,5.908127031352765623e-01,2.790816045583672245e-01,1.061450000000000865e-01
2.670353755551324149e+00,5.021607466686864862e-01,2.645918073610862842e-01,5.617921773315431855e-01,2.960120012318400162e-01,1.061450000000001004e-01
2.722713633111153886e+00,4.639814608767630078e-01,2.580185921176951780e-01,5.190791133648778866e-01,2.886582187465475124e-01,1.061450000000000726e-01
2.775073510670983623e+00,4.684416820526389746e-01,2.605883922163597655e-01,5.240689844019877919e-01,2.915331817983451423e-01,1.061450000000000587e-01
2.827433388230813804e+00,4.187778218367264604e-01,2.565487679961219181e-01,4.685075564120875224e-01,2.870138534730151680e-01,1.061450000000001004e-01
2.879793265790643542e+00,3.818140373573669644e-01,2.522958862509214195e-01,4.271543341563978080e-01,2.822559433587343292e-01,1.061450000000000726e-01
2.932153143350473279e+00,3.639492021040713343e-01,2.346623008333096339e-01,4.071680553379143364e-01,2.625283752211596267e-01,1.061450000000000726e-01
