comp_x_unit,comp_y_unit,comp_z_unit,final_temperature_uK,cooling_efficiency,mean_field_mG,initial_field_mG,final_field_mG,mean_relative_efficiency
100.0,-100.0,-120.0,32.318366834900665,0.2076117071648469,227.02738878889093,262.05915362757315,223.6080768926662,0.6220440065381939
110.0,-100.0,-120.0,33.039775070277976,0.18811418728978443,231.87873958004505,268.46787517317597,228.255626593399,0.6120701536035071
120.0,-100.0,-120.0,33.79958906328966,0.16757867396514436,237.05312376919525,275.0908940695784,233.23955516046993,0.6015577512509582
-120.0,-90.0,-120.0,32.46021560437758,0.20377795663844375,223.39558185043185,202.1756661915573,226.49337940363827,0.6295356735795506
-110.0,-90.0,-120.0,31.68008394611011,0.22486259605107814,218.50210942353823,199.68725547715857,221.3578775051593,0.6397917313415026
-100.0,-90.0,-120.0,30.941730643130153,0.24481809072621208,213.96380713506892,197.67397400770795,216.56262132117305,0.6493953483105236
-90.0,-90.0,-120.0,30.251599582690986,0.2634702815488923,209.8034813839447,196.1504524593303,212.13068607206856,0.6582725245458686
-80.0,-90.0,-120.0,29.61596492572128,0.28064959660212757,206.04377017374415,195.12816301087858,208.08528778679957,0.6663517390239314
-70.0,-90.0,-120.0,29.04082579605318,0.29619389740396806,202.7067019708635,194.61500456028563,204.4493727386413,0.673565241902268
-60.0,-90.0,-120.0,28.531798605161622,0.3099513890496859,199.81319801906898,194.61500456028563,201.24513666951697,0.6798503600568522
-50.0,-90.0,-120.0,28.09401008120855,0.3217835113186879,197.38253483099697,195.12816301087858,198.49348617282448,0.6851507736283686
-40.0,-90.0,-120.0,27.731994385487873,0.33156771931113854,195.43179091545736,196.1504524593303,196.21346302675042,0.689417718598355
-30.0,-90.0,-120.0,27.44959785893466,0.3392000578666308,193.97530823907596,197.67397400770795,194.42166055472998,0.6926110700093356
-20.0,-90.0,-120.0,27.249894914403033,0.34459743474586396,193.02420320064792,199.68725547715857,193.13166781438858,0.6947002626149856
-10.0,-90.0,-120.0,27.13511835856057,0.3476995038226873,192.5859628037833,202.1756661915573,192.35358102379075,0.6956650105695744
0.0,-90.0,-120.0,27.106606989242835,0.3484700813718153,192.66415840294948,205.12191496766016,192.09362080138092,0.6954957950867345
10.0,-90.0,-120.0,27.16477268767835,0.3468980354681527,193.2583017039596,208.50659461993044,192.35388785385496,0.6941940984317505
20.0,-90.0,-120.0,27.30908844629478,0.34299760955960057,194.36385632223738,212.30873745562144,193.13227900173007,0.691772373568563
30.0,-90.0,-120.0,27.538097893483584,0.3368081650409842,195.97240466750503,216.50635094610965,194.4225712521846,0.6882537505171035
40.0,-90.0,-120.0,27.849445958697473,0.32839335246763585,198.0719562911175,221.07690969434145,196.21466620061682,0.6836714921607474
50.0,-90.0,-120.0,28.23992943027368,0.3178397451277384,200.64737221651035,225.99778759979046,198.4949728636173,0.6780682230522763
60.0,-90.0,-120.0,28.705565356757962,0.30525499035789294,203.6808718379293,231.24662159694356,201.24689630410916,0.6714949639614725
