time_s,value
26887.272658,836105331.0
26893.27567,836170998.0
26899.284355,836155131.0
26905.29411,836198298.0
26911.309159,836204731.0
26917.323523,836109998.0
26923.341533,836043331.0
26929.355723,836070998.0
26935.374175,836168331.0
26941.37783,836026664.0
26947.388728,836145598.0
26953.412623,836137764.0
26959.425693,836168331.0
26965.437355,836151664.0
26971.452375,836109998.0
26977.464918,836221598.0
26983.47242,836112364.0
26989.479561,836230131.0
26995.482093,836155231.0
27001.47992,836188564.0
27007.502584,836159998.0
27013.515971,836179531.0
27019.528777,836109998.0
27025.545125,836122298.0
27031.562369,836205131.0
27037.573414,836147998.0
27043.571792,836184998.0
27049.584522,836120498.0
27055.58639,836088464.0
27061.586751,836145998.0
27067.609421,836172298.0
27073.624542,836053431.0
27079.637034,836053431.0
27085.656909,836163264.0
27091.667811,836157631.0
27097.684464,836186564.0
27103.686382,836196598.0
27109.705638,836093331.0
27115.722447,836180331.0
27121.728921,836126664.0
27127.74845,836113164.0
27133.758938,836155031.0
27139.762299,836138264.0
27145.784834,836159998.0
27151.789555,836113764.0
27157.800562,836196398.0
27163.814266,836220098.0
27169.834619,836263364.0
27175.854154,836206031.0
27181.878117,836205131.0
27187.886233,836113764.0
27193.905522,836034998.0
27199.929558,836129131.0
27205.952599,836154731.0
27211.970438,836095798.0
27217.983161,836121798.0
27223.994845,836129331.0
27229.99366,836053731.0
27235.991844,836238664.0
27241.992721,836144298.0
27247.992698,836219798.0
27253.994459,836170898.0
27259.992527,836154631.0
27265.998177,836203831.0
27271.99402,836090098.0
27277.992385,836120898.0
27283.992667,836220998.0
27289.992835,836190064.0
27295.992291,836112964.0
27301.994419,836034998.0
27307.998464,836096198.0
27313.991935,836068798.0
27319.995997,836162464.0
27326.00825,836097398.0
27332.009162,836155431.0
27338.009058,836184998.0
27344.014565,836211964.0
27350.033091,836118331.0
27356.04293,836178731.0
27362.061624,836078731.0
27368.084846,836188364.0
27374.090772,836220498.0
27380.107454,836153131.0
27386.119554,836104431.0
27392.142818,836171998.0
27398.151226,836111964.0
27404.166051,836095198.0
27410.193051,836094598.0
27416.207203,836097398.0
27422.219919,836154631.0
27428.233831,836093331.0
27434.248778,836093331.0
27440.267732,836088164.0
27446.290365,836201664.0
27452.304958,836134998.0
27458.312988,836246298.0
27464.417419,836212264.0
27470.442965,836175831.0
27476.450788,836180331.0
27482.470323,836221098.0
27488.482763,836137564.0
27494.496184,836171298.0
27500.517501,836079731.0
27506.525811,836122498.0
27512.534787,836145998.0
27518.544654,836080631.0
27524.569054,836180431.0
27530.598282,836178831.0
27536.605792,836178631.0
27542.602601,836147498.0
27548.616646,836026664.0
27554.6217,836079431.0
27560.65862,836079831.0
27566.674533,836062064.0
27572.691225,836043331.0
27578.702465,836144198.0
27584.726017,836094698.0
27590.743762,836068331.0
27596.748823,836021098.0
27602.765845,836113264.0
27608.780736,836130531.0
27614.799191,836095398.0
27620.807707,836111664.0
27626.805093,836088264.0
27632.816248,836080031.0
27638.826705,836029931.0
27644.841271,836064264.0
27650.863902,836096198.0
27656.872128,836077631.0
27662.890368,836064564.0
27668.899743,836063164.0
27674.910741,836063164.0
27685.144967,836155731.0
27691.176895,836155731.0
27697.195722,836068331.0
27703.204948,836034998.0
27709.215895,836038464.0
27715.23829,836112564.0
27721.24755,836062864.0
27727.2653,836056431.0
27733.279508,836163664.0
27739.296074,836018331.0
27745.308978,836051664.0
27751.309853,836012464.0
27757.314575,836054231.0
27763.3248,836079331.0
27769.338424,836104731.0
27775.357058,836104531.0
27781.356375,836004331.0
27787.374286,836043331.0
27793.384562,836039364.0
27799.392589,836051664.0
27805.407897,836112464.0
27811.417858,836129231.0
27817.420037,836088464.0
27823.424893,836068331.0
27829.434866,836095098.0
27835.448219,836127331.0
27841.462162,836071798.0
27847.4908,836080531.0
27853.502321,836095898.0
27859.510785,836054531.0
27865.535621,836113264.0
27871.553669,836036264.0
27877.661423,836054531.0
27883.670036,836056798.0
27889.692529,836070798.0
27895.702148,836071498.0
27901.727446,836093331.0
27907.737156,836068331.0
27913.744974,836144298.0
27919.754143,836156531.0
27925.760143,836009998.0
27931.784542,836072298.0
27937.791804,836097698.0
27943.80678,836051664.0
27949.810849,836038164.0
27955.835719,836096698.0
27961.867809,835954431.0
27967.897363,836087864.0
27973.901592,836068331.0
27979.915013,836079631.0
27985.916314,836062564.0
27991.918981,836071098.0
27997.944405,836020198.0
28003.947094,836121198.0
