time_s,value,kept
27344.014565,836211964.0,1
27350.033091,836118331.0,1
27356.04293,836178731.0,1
27362.061624,836078731.0,1
27368.084846,836188364.0,1
27374.090772,836220498.0,1
27380.107454,836153131.0,1
27386.119554,836104431.0,1
27392.142818,836171998.0,1
27398.151226,836111964.0,1
27404.166051,836095198.0,1
27410.193051,836094598.0,1
27416.207203,836097398.0,1
27422.219919,836154631.0,1
27428.233831,836093331.0,1
27434.248778,836093331.0,1
27440.267732,836088164.0,1
27446.290365,836201664.0,1
27452.304958,836134998.0,1
27458.312988,836246298.0,1
27464.417419,836212264.0,1
27470.442965,836175831.0,1
27476.450788,836180331.0,1
27482.470323,836221098.0,1
27488.482763,836137564.0,1
27494.496184,836171298.0,1
27500.517501,836079731.0,1
27506.525811,836122498.0,1
27512.534787,836145998.0,1
27518.544654,836080631.0,1
27524.569054,836180431.0,1
27530.598282,836178831.0,1
27536.605792,836178631.0,1
27542.602601,836147498.0,1
27548.616646,836026664.0,1
27554.6217,836079431.0,1
27560.65862,836079831.0,1
27566.674533,836062064.0,1
27572.691225,836043331.0,1
27578.702465,836144198.0,1
27584.726017,836094698.0,1
27590.743762,836068331.0,1
27596.748823,836021098.0,1
27602.765845,836113264.0,1
27608.780736,836130531.0,1
27614.799191,836095398.0,1
27620.807707,836111664.0,1
27626.805093,836088264.0,1
27632.816248,836080031.0,1
27638.826705,836029931.0,1
27644.841271,836064264.0,1
27650.863902,836096198.0,1
27656.872128,836077631.0,1
27662.890368,836064564.0,1
27668.899743,836063164.0,1
27674.910741,836063164.0,1
27685.144967,836155731.0,1
27691.176895,836155731.0,1
27697.195722,836068331.0,1
27703.204948,836034998.0,1
27709.215895,836038464.0,1
27715.23829,836112564.0,1
27721.24755,836062864.0,1
27727.2653,836056431.0,1
27733.279508,836163664.0,1
27739.296074,836018331.0,1
27745.308978,836051664.0,1
27751.309853,836012464.0,1
27757.314575,836054231.0,1
27763.3248,836079331.0,1
27769.338424,836104731.0,1
27775.357058,836104531.0,1
27781.356375,836004331.0,1
27787.374286,836043331.0,1
27793.384562,836039364.0,1
27799.392589,836051664.0,1
27805.407897,836112464.0,1
27811.417858,836129231.0,1
27817.420037,836088464.0,1
27823.424893,836068331.0,1
27829.434866,836095098.0,1
27835.448219,836127331.0,1
27841.462162,836071798.0,1
27847.4908,836080531.0,1
27853.502321,836095898.0,1
27859.510785,836054531.0,1
27865.535621,836113264.0,1
27871.553669,836036264.0,1
27877.661423,836054531.0,1
27883.670036,836056798.0,1
27889.692529,836070798.0,1
27895.702148,836071498.0,1
27901.727446,836093331.0,1
27907.737156,836068331.0,1
27913.744974,836144298.0,1
27919.754143,836156531.0,1
27925.760143,836009998.0,1
27931.784542,836072298.0,1
27937.791804,836097698.0,1
27943.80678,836051664.0,1
27949.810849,836038164.0,1
27955.835719,836096698.0,1
27961.867809,835954431.0,1
27967.897363,836087864.0,1
27973.901592,836068331.0,1
27979.915013,836079631.0,1
27985.916314,836062564.0,1
27991.918981,836071098.0,1
27997.944405,836020198.0,1
28003.947094,836121198.0,1
28009.963925,836051664.0,1
28015.989987,836106431.0,1
28022.002357,836087864.0,1
28028.018149,836130831.0,1
28034.02503,836111564.0,1
28040.023653,836038564.0,1
28046.023467,836030431.0,1
28052.027508,836055531.0,1
28058.024323,836096598.0,1
28064.024481,836062264.0,1
28070.024824,836035864.0,1
28076.080137,836104531.0,1
28082.090623,836009998.0,1
28088.093567,836009998.0,1
28094.115958,836039064.0,1
28100.130655,836004731.0,1
28106.143725,835994998.0,1
28112.15298,836055031.0,1
28118.177557,836103931.0,1
28124.189814,836039264.0,1
28130.216507,835998298.0,1
28136.231384,836053331.0,1
28142.229228,835995798.0,1
28148.230934,836079031.0,1
28154.235475,835996998.0,1
28160.255066,836136764.0,1
28166.270212,836105031.0,1
28172.283148,836071998.0,1
28178.291326,836034998.0,1
28184.308134,835918331.0,1
28190.325139,835997898.0,1
28196.340729,836038564.0,1
28202.338626,836095898.0,1
28208.355674,836065064.0,1
28214.373946,836146798.0,1
28220.392399,836030431.0,1
28226.411798,836054831.0,1
28232.428461,836034998.0,1
28238.43053,835995398.0,1
28244.441035,835980131.0,1
28250.454886,836045898.0,1
28256.467757,836094598.0,1
28262.486355,835995098.0,1
28268.494907,836061364.0,1
28274.514471,836072098.0,1
28280.535078,836078031.0,1
28286.546897,836078031.0,1
28292.568537,836097698.0,1
28298.597442,836059998.0,1
28304.603025,836001664.0,1
28310.627973,836068331.0,1
28316.646824,836055231.0,1
28322.65893,836062264.0,1
28328.665,836130331.0,1
28334.695067,836078831.0,1
28340.720698,836022398.0,1
28346.74173,836161964.0,1
28352.745065,836146598.0,1
28358.748001,836094298.0,1
28364.749275,836097698.0,1
28370.768002,836155631.0,1
28376.775149,836114064.0,1
28382.795778,836104931.0,1
28388.81003,836155631.0,1
28394.836483,836072798.0,1
28400.859776,836109998.0,1
28406.872457,836076664.0,1
28412.894374,836069898.0,1
28418.900323,836113364.0,1
28424.924058,836051664.0,1
28430.94148,836045998.0,1
28436.952583,836093331.0,1
28442.964981,836112964.0,1
28448.990211,836076664.0,1
28455.004117,836095798.0,1
28461.0108,836079131.0,1
28467.010639,835997598.0,1
28473.020314,836072698.0,1
28479.124097,836084998.0,1
28485.139108,836009998.0,1
28491.157946,836009998.0,1
28497.174806,836072998.0,1
28503.189955,836065564.0,1
28509.201456,836120498.0,1
28515.21525,836119898.0,1
28521.235261,836121298.0,1
28527.261035,836147598.0,1
28533.261363,836081931.0,1
28539.270649,835986464.0,1
28545.278788,836105231.0,1
28551.294549,835994398.0,1
28557.313837,836012264.0,1
28563.334839,836039064.0,1
28569.343791,836080131.0,1
28575.35773,836095098.0,1
28581.373825,836063364.0,1
28587.38723,835997098.0,1
28593.408932,836079031.0,1
28599.421174,836071098.0,1
28605.435021,836038164.0,1
28611.457721,836079731.0,1
28617.467257,836112564.0,1
28623.479362,836080931.0,1
28629.49752,836051664.0,1
28635.512474,835997398.0,1
28641.512878,836022298.0,1
28647.528809,836056731.0,1
28653.550645,836076664.0,1
28659.555673,836036264.0,1
28665.567666,836059998.0,1
28671.577793,836080331.0,1
28677.587192,836029531.0,1
28683.594363,836004231.0,1
28689.613987,836004231.0,1
